count	DATE2	PRCP	SNWD	SNOW	TMAX	TMIN	AWND2	weekday	isWeekend
1320	03/14/2009	0.0	0.0	0.0	51	32	4.9	6	1
1357	04/24/2012	0.0	0.0	0.0	59	41	6.3	2	0
1253	04/26/2008	0.01	0.0	0.0	64	51	7.6	6	1
1499	04/29/2011	0.0	0.0	0.0	69	54	6.5	5	0
1373	05/20/2008	0.45	0.0	0.0	56	48	4.9	2	0
1161	06/12/2011	0.05	0.0	0.0	74	58	5.8	7	1
1129	06/17/2007	0.0	0.0	0.0	86	66	3.8	7	1
1587	07/11/2006	0.0	0.0	0.0	88	73	5.4	2	0
1528	08/14/2009	0.0	0.0	0.0	86	67	2.7	5	0
1577	09/20/2007	0.0	0.0	0.0	82	60	1.8	4	0
1617	10/06/2010	0.0	0.0	0.0	64	54	5.6	3	0
1357	10/22/2012	0.0	0.0	0.0	66	49	4.3	1	0
1331	12/10/2013	0.23	0.0	1.4	37	30	6.5	2	0
1462	12/20/2007	0.0	0.0	0.0	44	35	5.1	4	0
1367	01/08/2013	0.0	0.0	0.0	48	35	6.5	2	0
999	01/08/2015	0.0	0.0	0.0	21	8	8.7	4	0
1156	01/24/2010	0.02	0.0	0.0	50	32	2.5	7	1
1275	01/29/2010	0.0	0.0	0.0	23	16	11.6	5	0
1288	02/20/2010	0.0	4.0	0.0	44	35	8.1	6	1
1393	02/28/2006	0.0	0.0	0.0	33	22	8.9	2	0
1439	03/19/2009	0.13	0.0	0.0	53	42	4.5	4	0
1529	05/18/2006	0.24	0.0	0.0	73	57	5.1	4	0
1409	06/09/2015	0.01	0.0	0.0	83	68	4.9	2	0
1437	06/20/2012	0.0	0.0	0.0	94	70	3.6	3	0
1598	06/26/2008	0.03	0.0	0.0	81	71	4.9	4	0
1352	07/02/2015	0.0	0.0	0.0	80	69	1.1	4	0
1421	07/03/2014	1.78	0.0	0.0	87	69	2.9	4	0
1384	07/06/2009	0.0	0.0	0.0	83	63	3.8	1	0
1352	07/07/2008	0.0	0.0	0.0	82	70	3.6	1	0
1304	07/22/2006	0.16	0.0	0.0	80	71	5.1	6	1
1642	07/30/2008	0.0	0.0	0.0	87	72	3.8	3	0
1318	08/21/2007	1.27	0.0	0.0	59	56	7.6	2	0
1657	10/18/2007	0.0	0.0	0.0	77	63	2.7	4	0
1510	10/19/2010	0.03	0.0	0.0	59	47	2.7	2	0
1220	10/30/2010	0.0	0.0	0.0	57	42	7.4	6	1
1442	11/29/2006	0.0	0.0	0.0	59	50	3.8	3	0
1000	01/01/2015	0.0	0.0	0.0	39	27	7.2	4	0
1226	01/29/2014	0.04	2.0	0.8	23	14	6.5	3	0
1149	03/20/2011	0.0	0.0	0.0	51	34	6.5	7	1
1551	04/11/2008	0.08	0.0	0.0	61	49	6.7	5	0
1517	04/23/2010	0.0	0.0	0.0	68	44	6.5	5	0
1344	04/23/2015	0.0	0.0	0.0	52	41	9.2	4	0
1500	04/24/2013	0.0	0.0	0.0	69	44	4.9	3	0
1542	06/27/2007	0.69	0.0	0.0	90	70	3.8	3	0
1297	07/21/2012	0.0	0.0	0.0	78	61	4.3	6	1
1471	07/27/2015	0.36	0.0	0.0	86	71	2.9	1	0
1323	08/01/2015	0.0	0.0	0.0	89	75	4.5	6	1
1557	08/05/2008	0.04	0.0	0.0	86	69	4.9	2	0
1492	09/17/2014	0.0	0.0	0.0	73	55	2.7	3	0
1537	10/07/2010	0.0	0.0	0.0	71	53	7.6	4	0
1365	10/17/2006	1.09	0.0	0.0	61	54	6.0	2	0
1425	10/29/2009	0.0	0.0	0.0	57	49	5.4	4	0
1559	11/13/2007	0.22	0.0	0.0	59	47	2.9	2	0
1498	11/18/2009	0.0	0.0	0.0	53	42	7.4	3	0
744	11/27/2008	0.0	0.0	0.0	44	35	5.8	4	0
1190	11/29/2009	0.0	0.0	0.0	59	39	5.1	7	1
1351	12/12/2012	0.0	0.0	0.0	43	36	3.4	3	0
1220	01/12/2014	0.05	0.0	0.0	54	38	8.3	7	1
1278	02/06/2007	0.0	0.0	0.0	25	11	8.9	2	0
1017	02/08/2015	0.0	7.9	0.0	37	29	8.5	7	1
1075	02/19/2012	0.0	0.0	0.0	44	35	6.9	7	1
1191	02/25/2006	0.0	0.0	0.0	50	27	9.2	6	1
1459	03/20/2006	0.0	0.0	0.0	41	27	8.5	1	0
1553	04/25/2012	0.0	0.0	0.0	62	43	2.2	3	0
1104	05/10/2009	0.0	0.0	0.0	70	54	10.1	7	1
1544	06/19/2008	0.0	0.0	0.0	76	57	4.0	4	0
1444	07/03/2008	0.0	0.0	0.0	89	71	6.7	4	0
1432	07/16/2013	0.0	0.0	0.0	94	77	4.7	2	0
1447	07/22/2014	0.0	0.0	0.0	86	71	3.8	2	0
1460	08/01/2006	0.0	0.0	0.0	95	79	5.6	2	0
1447	11/15/2013	0.0	0.0	0.0	57	44	4.7	5	0
1415	02/15/2013	0.0	0.0	0.0	55	37	6.0	5	0
1143	02/21/2010	0.0	3.0	0.0	46	33	9.6	7	1
1199	02/23/2008	0.01	5.0	0.0	34	28	4.5	6	1
1509	03/05/2008	0.3	0.0	0.0	57	37	10.5	3	0
1372	03/16/2012	0.03	0.0	0.0	51	43	3.4	5	0
1281	03/19/2011	0.0	0.0	0.0	59	38	8.7	6	1
1514	04/06/2006	0.0	0.0	0.0	53	39	6.9	4	0
1278	04/15/2013	0.0	0.0	0.0	59	44	5.8	1	0
1481	05/07/2014	0.0	0.0	0.0	69	50	4.0	3	0
1285	06/18/2009	2.3	0.0	0.0	64	60	6.3	4	0
1243	06/24/2006	0.62	0.0	0.0	74	69	1.1	6	1
1439	06/29/2009	0.0	0.0	0.0	81	65	5.4	1	0
1336	07/16/2011	0.0	0.0	0.0	90	70	4.7	6	1
1571	07/22/2008	0.01	0.0	0.0	87	73	6.3	2	0
1477	07/24/2012	0.0	0.0	0.0	91	74	6.5	2	0
1546	08/17/2011	0.0	0.0	0.0	86	66	1.8	3	0
1606	09/26/2007	0.0	0.0	0.0	87	69	5.1	3	0
1221	11/13/2012	0.09	0.0	0.0	62	40	6.0	2	0
1471	11/20/2006	0.0	0.0	0.0	45	38	4.9	1	0
1594	11/27/2007	0.03	0.0	0.0	64	43	7.8	2	0
1080	01/10/2010	0.0	0.0	0.0	28	14	6.9	7	1
1434	01/22/2009	0.0	3.0	0.0	37	20	6.7	4	0
1103	01/31/2011	0.0	17.0	0.0	31	22	5.8	1	0
1391	02/01/2013	0.0	0.0	0.0	31	24	8.5	5	0
1099	02/05/2006	0.15	0.0	0.0	55	37	8.9	7	1
1137	03/06/2015	0.0	18.9	0.0	27	12	6.3	5	0
1584	03/14/2007	0.0	0.0	0.0	70	46	3.6	3	0
1378	03/24/2011	0.09	1.0	1.0	44	30	6.5	4	0
969	04/20/2014	0.0	0.0	0.0	60	45	6.3	7	1
1491	05/04/2012	0.1	0.0	0.0	73	54	2.0	5	0
1400	05/09/2011	0.0	0.0	0.0	71	54	7.2	1	0
1334	06/06/2013	0.13	0.0	0.0	70	59	5.1	4	0
1220	06/10/2012	0.0	0.0	0.0	84	66	1.6	7	1
1392	06/24/2014	0.0	0.0	0.0	81	68	4.9	2	0
1497	07/20/2009	0.0	0.0	0.0	81	67	4.5	1	0
1382	08/03/2013	0.06	0.0	0.0	78	68	3.4	6	1
1306	08/09/2009	0.01	0.0	0.0	79	70	3.4	7	1
1450	08/18/2009	0.64	0.0	0.0	90	68	4.9	2	0
1297	11/04/2007	0.0	0.0	0.0	56	45	4.0	7	1
1267	11/26/2013	0.51	0.0	0.0	47	33	4.3	2	0
894	01/21/2014	0.46	0.0	11.0	31	11	10.5	2	0
1319	01/31/2006	0.08	0.0	0.0	42	39	10.3	2	0
1298	02/09/2011	0.0	10.0	0.0	29	15	8.1	3	0
1179	03/04/2012	0.0	0.0	0.0	45	36	6.9	7	1
1317	04/10/2012	0.0	0.0	0.0	60	45	5.6	2	0
1563	05/17/2006	0.0	0.0	0.0	71	54	6.9	3	0
1569	05/20/2010	0.0	0.0	0.0	79	55	2.9	4	0
1444	05/26/2011	0.0	0.0	0.0	78	64	4.9	4	0
1319	06/03/2013	0.87	0.0	0.0	78	66	3.4	1	0
1351	06/14/2013	0.38	0.0	0.0	72	53	5.1	5	0
1692	07/05/2011	0.0	0.0	0.0	87	70	4.0	2	0
1385	09/05/2009	0.0	0.0	0.0	84	69	3.6	6	1
1212	09/09/2012	0.0	0.0	0.0	78	63	3.1	7	1
1353	10/16/2010	0.0	0.0	0.0	58	50	10.5	6	1
1555	10/21/2010	0.01	0.0	0.0	62	49	7.4	4	0
1325	10/27/2015	0.0	0.0	0.0	59	45	4.5	2	0
1430	10/30/2008	0.0	0.0	0.0	48	36	6.9	4	0
1267	11/15/2008	0.74	0.0	0.0	67	58	6.5	6	1
1154	11/23/2012	0.01	0.0	0.0	56	43	4.9	5	0
1305	12/02/2006	0.0	0.0	0.0	49	39	8.3	6	1
1333	12/14/2009	0.0	0.0	0.0	46	40	5.4	1	0
1378	12/22/2006	0.47	0.0	0.0	49	39	5.1	5	0
1219	01/08/2006	0.0	0.0	0.0	46	34	5.1	7	1
1322	05/04/2011	0.5	0.0	0.0	64	46	6.0	3	0
1414	05/17/2010	0.0	0.0	0.0	74	55	2.9	1	0
1203	06/01/2008	0.0	0.0	0.0	82	65	6.3	7	1
1531	06/06/2006	0.0	0.0	0.0	72	59	6.7	2	0
1348	06/22/2013	0.0	0.0	0.0	84	65	4.0	6	1
1287	07/07/2007	0.0	0.0	0.0	85	67	3.8	6	1
1210	07/16/2006	0.0	0.0	0.0	92	73	4.0	7	1
1602	08/07/2008	0.08	0.0	0.0	86	66	4.3	4	0
1411	08/21/2009	0.13	0.0	0.0	89	72	4.9	5	0
1239	08/21/2011	0.67	0.0	0.0	84	70	4.9	7	1
1074	09/02/2006	1.24	0.0	0.0	66	59	0.0	6	1
1233	10/11/2015	0.0	0.0	0.0	69	53	3.8	7	1
1470	10/15/2010	0.02	0.0	0.0	57	49	11.4	5	0
1277	10/22/2014	1.51	0.0	0.0	58	50	9.4	3	0
1572	10/24/2007	0.16	0.0	0.0	67	52	4.7	3	0
