NTACODE	NTANAME	POP_TOT	POP_MALE_RT	POP_FEMALE_RT	RACE_HIS_LAT_RT	RACE_WHITE_RT	RACE_BLACK_RT	RACE_ASIAN_RT	POP_UNDER10YR_RT	POP_10TO19YR_RT	POP_20TO59YR_RT	POP_OVER60YR_RT	LABOR_FORCE	HOUSEHOLD_TOT	HOUSEHOLD_INCOME_AVE	EMPLOYED_RT	UNEMPLOYED_RT	HOUSEHOLD_WITHEARNING_RT	HOUSEHOLD_FOODSTAMP_RT	HOUSEHOLD_LT25K_RT	HOUSEHOLD_25KTO50K_RT	HOUSEHOLD_50KTO200K_RT	HOUSEUNITS_TOT	HOUSEUNITS_OCCUPIED	HOUSEUNITS_VACANT_RT	HOUSEUNITS_NOPLUMBING_RT	HOUSEUNITS_NOKITCHEN_RT	HOUSEUNITS_NOPHONE_RT	HOUSEUNITS_OWNER_RT	HOUSEUNITS_RENTER_RT	POP_OVER25YR	EDU_LT12_RT	EDU_PRIORCOLLEGE_RT	EDU_COLLEGE_RT	POP_PERHOUSEHOLD
BK29	Bensonhurst East	61066	0.492025022107	0.507974977893	0.12057446042	0.471604493499	0.00835161955916	0.386139586677	0.111027412963	0.0973536829005	0.564274719156	0.22734418498	29723	21737	58.4161797856	0.900077381152	0.0999226188473	0.74490500069	0.197175323182	0.272300685467	0.299351336431	0.405575746423	23270	21737	0.0658788139235	0.0031800601633	0.00984099699183	0.0322303394929	0.362285503979	0.63771449602	44527	0.309160733937	0.464414849417	0.226424416646	2.6242372153
BK41	Kensington-Ocean Parkway	36199	0.489985911213	0.510014088787	0.139092240117	0.512389845023	0.0765214508688	0.243791264952	0.149783143181	0.14494875549	0.545457056825	0.159811044504	16891	12037	58.5770956218	0.913741045527	0.0862589544727	0.818144055827	0.221649912769	0.333554872476	0.23053917089	0.408324333305	12560	12037	0.0416401273885	0.00398089171974	0.012898089172	0.0203025477707	0.285868571903	0.714131428096	22968	0.191527342389	0.458855799373	0.349616858237	2.88208598726
BK46	Ocean Parkway South	19541	0.489893045391	0.510106954608	0.0859219077836	0.856404482882	0.00711324906606	0.0389437592753	0.166061102298	0.155979734916	0.476434164065	0.201524998721	8260	6607	67.9427122748	0.896973365616	0.103026634382	0.748751324352	0.152414106251	0.276373543211	0.201907068261	0.468593915543	7199	6607	0.0822336435615	0.00513960272259	0.00513960272259	0.0225031254341	0.438474345391	0.561525654608	11672	0.14007882111	0.523817683344	0.336103495545	2.71440477844
BK88	Borough Park	106203	0.515672815269	0.484327184731	0.103942449837	0.764517009877	0.00576254908053	0.122199937855	0.233091343936	0.172283268834	0.454544598552	0.140080788678	38510	28325	54.8100617829	0.929628667878	0.0703713321215	0.796787290379	0.287413945278	0.346866725507	0.274774933804	0.353680494263	30704	28325	0.077481761334	0.00508077123502	0.00677436164669	0.0169033350703	0.306513680494	0.693486319505	55029	0.278489523706	0.536299042323	0.185211433971	3.45893043252
BK19	Brighton Beach	31584	0.458934903749	0.541065096251	0.130920719352	0.698644883485	0.0119047619048	0.132060536981	0.0981509625126	0.0907738095238	0.526025835866	0.285049392097	14181	13764	53.4693766347	0.923418658768	0.0765813412312	0.636442894507	0.308049985469	0.419718105202	0.218904388259	0.330717814589	15273	13764	0.0988018071105	0.012178353958	0.0119819288941	0.0365350618739	0.294027898866	0.705972101133	23652	0.132208692711	0.474378488077	0.393412819212	2.06796307209
BK21	Seagate-Coney Island	30018	0.461356519422	0.538643480578	0.23549203811	0.316243587181	0.339163168765	0.103171430475	0.101272569791	0.145679259111	0.482010793524	0.271037377573	12322	11215	41.1538118591	0.791429962668	0.208570037331	0.597146678555	0.463218903254	0.472135532768	0.257333927775	0.265091395452	12177	11215	0.0790013960745	0.010347376201	0.00862281350086	0.0290711998029	0.165492643781	0.834507356219	20455	0.315864091909	0.508922023955	0.175213884136	2.46513919684
BK23	West Brighton	15472	0.423474663909	0.576525336091	0.0109229576008	0.967101861426	0.0108583247156	0.00710961737331	0.0482161323681	0.0450491209927	0.422311271975	0.484423474664	6771	8026	55.5488412658	0.935164672868	0.0648353271303	0.554697233989	0.237727385995	0.352853227012	0.223398953401	0.399077996511	8564	8026	0.06282111163	0.000934142923866	0.00268566090612	0.0133115366651	0.379267381011	0.620732618988	13418	0.0947980324936	0.501788642122	0.403413325384	1.80663241476
BK26	Gravesend	27759	0.455167693361	0.544832306639	0.153571814547	0.526315789473	0.0772722360315	0.237220360964	0.0970856298858	0.110846932526	0.499477646889	0.292589790698	12094	11068	52.8729219371	0.880271208863	0.119728791136	0.607968919407	0.253162269606	0.365196964221	0.268612215395	0.344235634261	11490	11068	0.036727589208	0.00113141862489	0.00678851174934	0.0258485639686	0.361853993494	0.638146006505	20397	0.258469382752	0.510614306025	0.230916311222	2.41592689295
BK42	Flatbush	105094	0.457171674881	0.542828325118	0.191285896436	0.216472871905	0.482710716121	0.0835918320741	0.136325575199	0.137800445316	0.583782137896	0.142091841589	53410	37482	57.4181607171	0.89700430631	0.10299569369	0.818899738541	0.253374953311	0.293874393042	0.272023904808	0.409716663999	40161	37482	0.0667065063121	0.0093125171186	0.0103583078111	0.0233808919101	0.175684328478	0.824315671522	67622	0.206604359528	0.517834432581	0.275561207891	2.61681731033
BK43	Midwood	51514	0.495244011337	0.504755988663	0.0635361261016	0.775012617929	0.0499475870637	0.0984974958264	0.142349652522	0.146950343596	0.506153666964	0.204546336918	22255	18430	65.6435160065	0.9172770164	0.0827229835992	0.748399348887	0.205371676614	0.322517634292	0.200162778079	0.427509495388	19756	18430	0.0671188499696	0.009971654181	0.00946547884187	0.0202470135655	0.349213239284	0.650786760716	32573	0.129156049489	0.44932919903	0.421514751481	2.60751164203
