count	NTACODE	NTANAME	POP_TOT	POP_MALE_RT	POP_FEMALE_RT	RACE_HIS_LAT_RT	RACE_WHITE_RT	RACE_BLACK_RT	RACE_ASIAN_RT	POP_UNDER10YR_RT	POP_10TO19YR_RT	POP_20TO59YR_RT	POP_OVER60YR_RT	LABOR_FORCE	HOUSEHOLD_TOT	HOUSEHOLD_INCOME_AVE	EMPLOYED_RT	UNEMPLOYED_RT	HOUSEHOLD_WITHEARNING_RT	HOUSEHOLD_FOODSTAMP_RT	HOUSEHOLD_LT25K_RT	HOUSEHOLD_25KTO50K_RT	HOUSEHOLD_50KTO200K_RT	HOUSEUNITS_TOT	HOUSEUNITS_OCCUPIED	HOUSEUNITS_VACANT_RT	HOUSEUNITS_NOPLUMBING_RT	HOUSEUNITS_NOKITCHEN_RT	HOUSEUNITS_NOPHONE_RT	HOUSEUNITS_OWNER_RT	HOUSEUNITS_RENTER_RT	POP_OVER25YR	EDU_LT12_RT	EDU_PRIORCOLLEGE_RT	EDU_COLLEGE_RT	POP_PERHOUSEHOLD	RPT_YR	COUNT_PER1K
4388	BX05	Bedford Park-Fordham North	52591	0.475176360974	0.524823639026	0.682759407503	0.0756973626666	0.178889924131	0.0478408853226	0.157346314008	0.158962560134	0.573824418627	0.109866707231	23789	18253	42.7385909165	0.867249569128	0.132750430871	0.75445132307	0.404919739221	0.46354023996	0.23415328987	0.293212074727	19607	18253	0.0690569694497	0.0117815066048	0.0168817259142	0.0355995307798	0.0527036651509	0.947296334849	31845	0.360150730099	0.506610142879	0.133239127021	2.68225633702	2008	83.43633
1423	QN19	Glendale	31750	0.479559055118	0.520440944882	0.351874015748	0.597511811023	0.00888188976378	0.0295433070866	0.113165354331	0.127433070866	0.572157480315	0.187244094488	15439	11561	70.7451777527	0.930112053889	0.0698879461105	0.764034253092	0.063489317533	0.227315976126	0.212697863506	0.528846985554	12546	11561	0.0785110792284	0.00813008130081	0.00900685477442	0.0222381635581	0.470028544243	0.529971455756	21807	0.160453065529	0.645022240565	0.194524693906	2.53068707157	2010	44.818897
927	QN37	Kew Gardens Hills	36683	0.480440531036	0.519559468964	0.124962516697	0.530381920781	0.0839898590628	0.230815364065	0.149442521059	0.114494452471	0.548155821498	0.187907204972	17735	13265	73.4666415378	0.899295179024	0.100704820975	0.793290614398	0.093102148511	0.211609498681	0.220203543159	0.531172257821	14374	13265	0.0771531932656	0.00619173507722	0.0107833588423	0.0347154584667	0.515567282322	0.484432717678	24106	0.107856965071	0.445698166431	0.446444868497	2.55203840267	2011	25.270561
884	SI11	Charleston-Richmond Valley-Tottenville	24083	0.518664618195	0.481335381804	0.123281983142	0.787484947888	0.0295228999709	0.04335008097	0.143628285513	0.134119503384	0.573765726861	0.148486484242	11029	7622	98.8556153239	0.94396590806	0.0560340919394	0.812909997375	0.0581212280241	0.130936762005	0.138677512464	0.60928890055	8244	7622	0.0754488112566	0.00715672003881	0.0101892285298	0.0104318292091	0.787326161112	0.212673838887	15882	0.101120765647	0.597405868278	0.301473366075	2.92127607957	2011	36.70639
2347	SI37	Stapleton-Rosebank	25635	0.495299395358	0.504700604642	0.29416812951	0.38985761654	0.188219231519	0.108445484689	0.119953188999	0.129003315779	0.593485469085	0.157558026136	11848	9115	68.6428963247	0.926569885212	0.0734301147872	0.750850246845	0.201645639056	0.282611080636	0.200219418541	0.489083927591	10192	9115	0.1056711146	0.00588697017268	0.00608320251177	0.0359105180533	0.492046077893	0.507953922106	17137	0.212697671704	0.532181828791	0.255120499504	2.51520800628	2012	91.55451
3131	BK32	Sunset Park West	54932	0.535789703633	0.464210296366	0.620039321343	0.176745794801	0.0306196752348	0.156356950411	0.148383455909	0.110245394306	0.627375664458	0.113995485327	28089	17023	56.8971391646	0.896685535263	0.103314464737	0.833636844269	0.256594019855	0.312400869412	0.263408329906	0.399577042824	18372	17023	0.0734269540605	0.0109405617244	0.0117025908992	0.046211626388	0.233625095459	0.76637490454	35838	0.404682180925	0.369496065629	0.225821753446	2.98998475941	2014	56.99774
5058	QN28	Jackson Heights	105188	0.50926911815	0.49073088185	0.542181617675	0.166539909495	0.0197455983572	0.24094953797	0.107654865574	0.111391033198	0.61756093851	0.163393162718	58606	36495	62.6151527606	0.900897519025	0.0991024809746	0.835785724072	0.144786957117	0.243430606932	0.269297163995	0.458884778737	39188	36495	0.0687200163315	0.0116617331836	0.0103092783505	0.0354445238338	0.37501027538	0.62498972462	73742	0.248555775542	0.488310596404	0.263133628055	2.68418903746	2014	48.085335
2180	BX30	Kingsbridge Heights	30599	0.449066962972	0.550933037027	0.685055067159	0.027778685578	0.203993594562	0.065328932318	0.132128500931	0.136638452237	0.57704500147	0.154188045361	15436	10599	42.0648174356	0.819707178025	0.180292821974	0.769695254269	0.40607604491	0.430323615435	0.28313991886	0.278799886782	11640	10599	0.0894329896906	0.00833333333333	0.0193298969072	0.0194158075601	0.145296726106	0.854703273893	19666	0.315214075053	0.518712498729	0.166073426218	2.62878006873	2015	71.244156
6874	MN03	Central Harlem North-Polo Grounds	78193	0.463340708247	0.536659291752	0.227462816365	0.0759786681672	0.637883186474	0.0266264243602	0.115355594491	0.133937820521	0.602905630939	0.14780095405	38361	33203	50.1846971659	0.840593310915	0.159406689085	0.711562208234	0.280878233894	0.40080715598	0.248742583501	0.320272264554	37771	33203	0.120939345	0.0134759471552	0.0140319292579	0.0436313573906	0.121826340993	0.878173659006	51827	0.227545487873	0.484805217358	0.287649294769	2.07018612163	2015	87.91068
1158	BK41	Kensington-Ocean Parkway	36199	0.489985911213	0.510014088787	0.139092240117	0.512389845023	0.0765214508688	0.243791264952	0.149783143181	0.14494875549	0.545457056825	0.159811044504	16891	12037	58.5770956218	0.913741045527	0.0862589544727	0.818144055827	0.221649912769	0.333554872476	0.23053917089	0.408324333305	12560	12037	0.0416401273885	0.00398089171974	0.012898089172	0.0203025477707	0.285868571903	0.714131428096	22968	0.191527342389	0.458855799373	0.349616858237	2.88208598726	2006	31.989834
